Transaction Key,Date Key,Customer Key,Bill To Customer Key,Supplier Key,Transaction Type Key,Payment Method Key,WWI Customer Transaction ID,WWI Supplier Transaction ID,WWI Invoice ID,WWI Purchase Order ID,Supplier Invoice Number,Total Excluding Tax,Tax Amount,Total Including Tax,Outstanding Balance,Is Finalized
61,1/2/2013,0,0,0,3,4,250,NULL,NULL,NULL,NULL,0,0,-149.5,0,1
62,1/2/2013,0,0,0,3,4,251,NULL,NULL,NULL,NULL,0,0,-745.2,0,1
151,1/3/2013,0,0,0,3,4,597,NULL,NULL,NULL,NULL,0,0,-4802.4,0,1
152,1/3/2013,0,0,0,3,4,598,NULL,NULL,NULL,NULL,0,0,-305.9,0,1
153,1/3/2013,0,0,0,3,4,599,NULL,NULL,NULL,NULL,0,0,-343.85,0,1
154,1/3/2013,0,0,0,3,4,600,NULL,NULL,NULL,NULL,0,0,-2287.35,0,1
155,1/3/2013,0,0,0,3,4,601,NULL,NULL,NULL,NULL,0,0,-10309.75,0,1
156,1/3/2013,0,0,0,3,4,602,NULL,NULL,NULL,NULL,0,0,-6440,0,1
157,1/3/2013,0,0,0,3,4,603,NULL,NULL,NULL,NULL,0,0,-1069.5,0,1
158,1/3/2013,0,0,0,3,4,604,NULL,NULL,NULL,NULL,0,0,-152.95,0,1
159,1/3/2013,0,0,0,3,4,605,NULL,NULL,NULL,NULL,0,0,-671.6,0,1
160,1/3/2013,0,0,0,3,4,606,NULL,NULL,NULL,NULL,0,0,-345,0,1
161,1/3/2013,0,0,0,3,4,607,NULL,NULL,NULL,NULL,0,0,-246.33,0,1
162,1/3/2013,0,0,0,3,4,608,NULL,NULL,NULL,NULL,0,0,-3726,0,1
163,1/3/2013,0,0,0,3,4,609,NULL,NULL,NULL,NULL,0,0,-73.6,0,1
164,1/3/2013,0,0,0,3,4,610,NULL,NULL,NULL,NULL,0,0,-11877.89,0,1
165,1/3/2013,0,0,0,3,4,611,NULL,NULL,NULL,NULL,0,0,-1637.6,0,1
166,1/3/2013,0,0,0,3,4,612,NULL,NULL,NULL,NULL,0,0,-315.1,0,1
167,1/3/2013,0,0,0,3,4,613,NULL,NULL,NULL,NULL,0,0,-11085.43,0,1
168,1/3/2013,0,0,0,3,4,614,NULL,NULL,NULL,NULL,0,0,-2317.25,0,1
169,1/3/2013,0,0,0,3,4,615,NULL,NULL,NULL,NULL,0,0,-224.25,0,1
170,1/3/2013,0,0,0,3,4,616,NULL,NULL,NULL,NULL,0,0,-1621.96,0,1
171,1/3/2013,0,0,0,3,4,617,NULL,NULL,NULL,NULL,0,0,-10292.04,0,1
172,1/3/2013,0,0,0,3,4,618,NULL,NULL,NULL,NULL,0,0,-97.81,0,1
173,1/3/2013,0,0,0,3,4,619,NULL,NULL,NULL,NULL,0,0,-993.6,0,1
174,1/3/2013,0,0,0,3,4,620,NULL,NULL,NULL,NULL,0,0,-2227.55,0,1
175,1/3/2013,0,0,0,3,4,621,NULL,NULL,NULL,NULL,0,0,-1391.5,0,1
176,1/3/2013,0,0,0,3,4,622,NULL,NULL,NULL,NULL,0,0,-209.3,0,1
177,1/3/2013,0,0,0,3,4,623,NULL,NULL,NULL,NULL,0,0,-1242,0,1
178,1/3/2013,0,0,0,3,4,624,NULL,NULL,NULL,NULL,0,0,-5791.4,0,1
264,1/4/2013,0,0,0,3,4,962,NULL,NULL,NULL,NULL,0,0,-1472,0,1
265,1/4/2013,0,0,0,3,4,963,NULL,NULL,NULL,NULL,0,0,-617.55,0,1
266,1/4/2013,0,0,0,3,4,964,NULL,NULL,NULL,NULL,0,0,-1282.25,0,1
267,1/4/2013,0,0,0,3,4,965,NULL,NULL,NULL,NULL,0,0,-2484,0,1
268,1/4/2013,0,0,0,3,4,966,NULL,NULL,NULL,NULL,0,0,-2348.3,0,1
269,1/4/2013,0,0,0,3,4,967,NULL,NULL,NULL,NULL,0,0,-4207.62,0,1
270,1/4/2013,0,0,0,3,4,968,NULL,NULL,NULL,NULL,0,0,-4872.32,0,1
271,1/4/2013,0,0,0,3,4,969,NULL,NULL,NULL,NULL,0,0,-4002,0,1
272,1/4/2013,0,0,0,3,4,970,NULL,NULL,NULL,NULL,0,0,-4222.8,0,1
273,1/4/2013,0,0,0,3,4,971,NULL,NULL,NULL,NULL,0,0,-2050.45,0,1
274,1/4/2013,0,0,0,3,4,972,NULL,NULL,NULL,NULL,0,0,-480.7,0,1
275,1/4/2013,0,0,0,3,4,973,NULL,NULL,NULL,NULL,0,0,-3349.95,0,1
276,1/4/2013,0,0,0,3,4,974,NULL,NULL,NULL,NULL,0,0,-230,0,1
277,1/4/2013,0,0,0,3,4,975,NULL,NULL,NULL,NULL,0,0,-5523.45,0,1
278,1/4/2013,0,0,0,3,4,976,NULL,NULL,NULL,NULL,0,0,-154.91,0,1
279,1/4/2013,0,0,0,3,4,977,NULL,NULL,NULL,NULL,0,0,-552,0,1
280,1/4/2013,0,0,0,3,4,978,NULL,NULL,NULL,NULL,0,0,-471.5,0,1
296,1/4/2013,0,0,0,3,4,979,NULL,NULL,NULL,NULL,0,0,-483,0,1
297,1/4/2013,0,0,0,3,4,980,NULL,NULL,NULL,NULL,0,0,-1302.95,0,1
298,1/4/2013,0,0,0,3,4,981,NULL,NULL,NULL,NULL,0,0,-104.65,0,1
299,1/4/2013,0,0,0,3,4,982,NULL,NULL,NULL,NULL,0,0,-9510.5,0,1
300,1/4/2013,0,0,0,3,4,983,NULL,NULL,NULL,NULL,0,0,-149.5,0,1
301,1/4/2013,0,0,0,3,4,984,NULL,NULL,NULL,NULL,0,0,-2599,0,1
302,1/4/2013,0,0,0,3,4,985,NULL,NULL,NULL,NULL,0,0,-819.95,0,1
303,1/4/2013,0,0,0,3,4,986,NULL,NULL,NULL,NULL,0,0,-148.12,0,1
304,1/4/2013,0,0,0,3,4,987,NULL,NULL,NULL,NULL,0,0,-1242,0,1
305,1/4/2013,0,0,0,3,4,988,NULL,NULL,NULL,NULL,0,0,-1219,0,1
306,1/4/2013,0,0,0,3,4,989,NULL,NULL,NULL,NULL,0,0,-4265.35,0,1
307,1/4/2013,0,0,0,3,4,990,NULL,NULL,NULL,NULL,0,0,-2032.05,0,1
354,1/5/2013,0,0,0,3,4,1198,NULL,NULL,NULL,NULL,0,0,-1580.1,0,1
355,1/5/2013,0,0,0,3,4,1199,NULL,NULL,NULL,NULL,0,0,-6037.5,0,1
356,1/5/2013,0,0,0,3,4,1200,NULL,NULL,NULL,NULL,0,0,-4289.04,0,1
357,1/5/2013,0,0,0,3,4,1201,NULL,NULL,NULL,NULL,0,0,-1913.6,0,1
358,1/5/2013,0,0,0,3,4,1202,NULL,NULL,NULL,NULL,0,0,-5531.5,0,1
359,1/5/2013,0,0,0,3,4,1203,NULL,NULL,NULL,NULL,0,0,-241.5,0,1
360,1/5/2013,0,0,0,3,4,1204,NULL,NULL,NULL,NULL,0,0,-1594.48,0,1
361,1/5/2013,0,0,0,3,4,1205,NULL,NULL,NULL,NULL,0,0,-83.95,0,1
362,1/5/2013,0,0,0,3,4,1206,NULL,NULL,NULL,NULL,0,0,-2208,0,1
363,1/5/2013,0,0,0,3,4,1207,NULL,NULL,NULL,NULL,0,0,-1380,0,1
364,1/5/2013,0,0,0,3,4,1208,NULL,NULL,NULL,NULL,0,0,-1932,0,1
365,1/5/2013,0,0,0,3,4,1209,NULL,NULL,NULL,NULL,0,0,-1242,0,1
366,1/5/2013,0,0,0,3,4,1210,NULL,NULL,NULL,NULL,0,0,-294.4,0,1
367,1/5/2013,0,0,0,3,4,1211,NULL,NULL,NULL,NULL,0,0,-1192.32,0,1
368,1/5/2013,0,0,0,3,4,1212,NULL,NULL,NULL,NULL,0,0,-2967,0,1
369,1/5/2013,0,0,0,3,4,1213,NULL,NULL,NULL,NULL,0,0,-2300,0,1
370,1/5/2013,0,0,0,3,4,1214,NULL,NULL,NULL,NULL,0,0,-2964.7,0,1
371,1/5/2013,0,0,0,3,4,1215,NULL,NULL,NULL,NULL,0,0,-433.55,0,1
372,1/5/2013,0,0,0,3,4,1216,NULL,NULL,NULL,NULL,0,0,-834.9,0,1
373,1/5/2013,0,0,0,3,4,1217,NULL,NULL,NULL,NULL,0,0,-2703.65,0,1
416,1/6/2013,0,0,0,3,4,1374,NULL,NULL,NULL,NULL,0,0,-306.36,0,1
417,1/6/2013,0,0,0,3,4,1375,NULL,NULL,NULL,NULL,0,0,-4044.55,0,1
418,1/6/2013,0,0,0,3,4,1376,NULL,NULL,NULL,NULL,0,0,-785.45,0,1
419,1/6/2013,0,0,0,3,4,1377,NULL,NULL,NULL,NULL,0,0,-1284.55,0,1
420,1/6/2013,0,0,0,3,4,1378,NULL,NULL,NULL,NULL,0,0,-3128,0,1
421,1/6/2013,0,0,0,3,4,1379,NULL,NULL,NULL,NULL,0,0,-6514.75,0,1
422,1/6/2013,0,0,0,3,4,1380,NULL,NULL,NULL,NULL,0,0,-6520.5,0,1
423,1/6/2013,0,0,0,3,4,1381,NULL,NULL,NULL,NULL,0,0,-675.05,0,1
424,1/6/2013,0,0,0,3,4,1382,NULL,NULL,NULL,NULL,0,0,-104.65,0,1
425,1/6/2013,0,0,0,3,4,1383,NULL,NULL,NULL,NULL,0,0,-3884.13,0,1
536,1/8/2013,0,0,0,3,4,1890,NULL,NULL,NULL,NULL,0,0,-1357.92,0,1
537,1/8/2013,0,0,0,3,4,1891,NULL,NULL,NULL,NULL,0,0,-2248.25,0,1
538,1/8/2013,0,0,0,3,4,1892,NULL,NULL,NULL,NULL,0,0,-565.11,0,1
539,1/8/2013,0,0,0,3,4,1893,NULL,NULL,NULL,NULL,0,0,-2571.4,0,1
540,1/8/2013,0,0,0,3,4,1894,NULL,NULL,NULL,NULL,0,0,-2980.34,0,1
541,1/8/2013,0,0,0,3,4,1895,NULL,NULL,NULL,NULL,0,0,-201.25,0,1
542,1/8/2013,0,0,0,3,4,1896,NULL,NULL,NULL,NULL,0,0,-1558.25,0,1
543,1/8/2013,0,0,0,3,4,1897,NULL,NULL,NULL,NULL,0,0,-589.49,0,1
544,1/8/2013,0,0,0,3,4,1898,NULL,NULL,NULL,NULL,0,0,-1572.05,0,1
545,1/8/2013,0,0,0,3,4,1899,NULL,NULL,NULL,NULL,0,0,-451.95,0,1
546,1/8/2013,0,0,0,3,4,1900,NULL,NULL,NULL,NULL,0,0,-690,0,1
547,1/8/2013,0,0,0,3,4,1901,NULL,NULL,NULL,NULL,0,0,-8990.7,0,1
548,1/8/2013,0,0,0,3,4,1902,NULL,NULL,NULL,NULL,0,0,-1490.4,0,1
549,1/8/2013,0,0,0,3,4,1903,NULL,NULL,NULL,NULL,0,0,-2171.2,0,1
550,1/8/2013,0,0,0,3,4,1904,NULL,NULL,NULL,NULL,0,0,-2914.45,0,1
551,1/8/2013,0,0,0,3,4,1905,NULL,NULL,NULL,NULL,0,0,-1453.83,0,1
552,1/8/2013,0,0,0,3,4,1906,NULL,NULL,NULL,NULL,0,0,-1560.78,0,1
553,1/8/2013,0,0,0,3,4,1907,NULL,NULL,NULL,NULL,0,0,-1860.93,0,1
554,1/8/2013,0,0,0,3,4,1908,NULL,NULL,NULL,NULL,0,0,-179.4,0,1
555,1/8/2013,0,0,0,3,4,1909,NULL,NULL,NULL,NULL,0,0,-2797.26,0,1
556,1/8/2013,0,0,0,3,4,1910,NULL,NULL,NULL,NULL,0,0,-3099.83,0,1
557,1/8/2013,0,0,0,3,4,1911,NULL,NULL,NULL,NULL,0,0,-1424.85,0,1
558,1/8/2013,0,0,0,3,4,1912,NULL,NULL,NULL,NULL,0,0,-1987.2,0,1
559,1/8/2013,0,0,0,3,4,1913,NULL,NULL,NULL,NULL,0,0,-2375.9,0,1
560,1/8/2013,0,0,0,3,4,1914,NULL,NULL,NULL,NULL,0,0,-10124.66,0,1
561,1/8/2013,0,0,0,3,4,1915,NULL,NULL,NULL,NULL,0,0,-1983.98,0,1
562,1/8/2013,0,0,0,3,4,1916,NULL,NULL,NULL,NULL,0,0,-3252.78,0,1
563,1/8/2013,0,0,0,3,4,1917,NULL,NULL,NULL,NULL,0,0,-12168.15,0,1
564,1/8/2013,0,0,0,3,4,1918,NULL,NULL,NULL,NULL,0,0,-509.22,0,1
565,1/8/2013,0,0,0,3,4,1919,NULL,NULL,NULL,NULL,0,0,-1048.8,0,1
607,1/9/2013,0,0,0,3,4,2090,NULL,NULL,NULL,NULL,0,0,-8168.45,0,1
608,1/9/2013,0,0,0,3,4,2091,NULL,NULL,NULL,NULL,0,0,-2828.6,0,1
609,1/9/2013,0,0,0,3,4,2092,NULL,NULL,NULL,NULL,0,0,-1234.18,0,1
610,1/9/2013,0,0,0,3,4,2093,NULL,NULL,NULL,NULL,0,0,-5154.3,0,1
611,1/9/2013,0,0,0,3,4,2094,NULL,NULL,NULL,NULL,0,0,-7586.55,0,1
612,1/9/2013,0,0,0,3,4,2095,NULL,NULL,NULL,NULL,0,0,-4329.75,0,1
613,1/9/2013,0,0,0,3,4,2096,NULL,NULL,NULL,NULL,0,0,-331.2,0,1
614,1/9/2013,0,0,0,3,4,2097,NULL,NULL,NULL,NULL,0,0,-227.7,0,1
615,1/9/2013,0,0,0,3,4,2098,NULL,NULL,NULL,NULL,0,0,-279.45,0,1
616,1/9/2013,0,0,0,3,4,2099,NULL,NULL,NULL,NULL,0,0,-3109.6,0,1
617,1/9/2013,0,0,0,3,4,2100,NULL,NULL,NULL,NULL,0,0,-584.2,0,1
618,1/9/2013,0,0,0,3,4,2101,NULL,NULL,NULL,NULL,0,0,-1453.6,0,1
619,1/9/2013,0,0,0,3,4,2102,NULL,NULL,NULL,NULL,0,0,-2484,0,1
620,1/9/2013,0,0,0,3,4,2103,NULL,NULL,NULL,NULL,0,0,-414,0,1
621,1/9/2013,0,0,0,3,4,2104,NULL,NULL,NULL,NULL,0,0,-1426,0,1
678,1/10/2013,0,0,0,3,4,2361,NULL,NULL,NULL,NULL,0,0,-5017.45,0,1
679,1/10/2013,0,0,0,3,4,2362,NULL,NULL,NULL,NULL,0,0,-2955.5,0,1
680,1/10/2013,0,0,0,3,4,2363,NULL,NULL,NULL,NULL,0,0,-1843.45,0,1
681,1/10/2013,0,0,0,3,4,2364,NULL,NULL,NULL,NULL,0,0,-1241.08,0,1
682,1/10/2013,0,0,0,3,4,2365,NULL,NULL,NULL,NULL,0,0,-1167.48,0,1
683,1/10/2013,0,0,0,3,4,2366,NULL,NULL,NULL,NULL,0,0,-3872.74,0,1
684,1/10/2013,0,0,0,3,4,2367,NULL,NULL,NULL,NULL,0,0,-6591.11,0,1
685,1/10/2013,0,0,0,3,4,2368,NULL,NULL,NULL,NULL,0,0,-5842,0,1
686,1/10/2013,0,0,0,3,4,2369,NULL,NULL,NULL,NULL,0,0,-1243.15,0,1
687,1/10/2013,0,0,0,3,4,2370,NULL,NULL,NULL,NULL,0,0,-3249.67,0,1
688,1/10/2013,0,0,0,3,4,2371,NULL,NULL,NULL,NULL,0,0,-2944,0,1
689,1/10/2013,0,0,0,3,4,2372,NULL,NULL,NULL,NULL,0,0,-1045.06,0,1
690,1/10/2013,0,0,0,3,4,2373,NULL,NULL,NULL,NULL,0,0,-1719.25,0,1
691,1/10/2013,0,0,0,3,4,2374,NULL,NULL,NULL,NULL,0,0,-4880.6,0,1
692,1/10/2013,0,0,0,3,4,2375,NULL,NULL,NULL,NULL,0,0,-1729.6,0,1
693,1/10/2013,0,0,0,3,4,2376,NULL,NULL,NULL,NULL,0,0,-3070.5,0,1
694,1/10/2013,0,0,0,3,4,2377,NULL,NULL,NULL,NULL,0,0,-395.6,0,1
776,1/11/2013,0,0,0,3,4,2726,NULL,NULL,NULL,NULL,0,0,-4898.37,0,1
777,1/11/2013,0,0,0,3,4,2727,NULL,NULL,NULL,NULL,0,0,-552,0,1
778,1/11/2013,0,0,0,3,4,2728,NULL,NULL,NULL,NULL,0,0,-954.5,0,1
779,1/11/2013,0,0,0,3,4,2729,NULL,NULL,NULL,NULL,0,0,-549.93,0,1
780,1/11/2013,0,0,0,3,4,2730,NULL,NULL,NULL,NULL,0,0,-2501.25,0,1
781,1/11/2013,0,0,0,3,4,2731,NULL,NULL,NULL,NULL,0,0,-4460.85,0,1
782,1/11/2013,0,0,0,3,4,2732,NULL,NULL,NULL,NULL,0,0,-2513.9,0,1
783,1/11/2013,0,0,0,3,4,2733,NULL,NULL,NULL,NULL,0,0,-456.55,0,1
784,1/11/2013,0,0,0,3,4,2734,NULL,NULL,NULL,NULL,0,0,-234.6,0,1
785,1/11/2013,0,0,0,3,4,2735,NULL,NULL,NULL,NULL,0,0,-896.77,0,1
786,1/11/2013,0,0,0,3,4,2736,NULL,NULL,NULL,NULL,0,0,-553.15,0,1
787,1/11/2013,0,0,0,3,4,2737,NULL,NULL,NULL,NULL,0,0,-588.8,0,1
788,1/11/2013,0,0,0,3,4,2738,NULL,NULL,NULL,NULL,0,0,-5322.2,0,1
789,1/11/2013,0,0,0,3,4,2739,NULL,NULL,NULL,NULL,0,0,-1874.5,0,1
790,1/11/2013,0,0,0,3,4,2740,NULL,NULL,NULL,NULL,0,0,-1181.51,0,1
791,1/11/2013,0,0,0,3,4,2741,NULL,NULL,NULL,NULL,0,0,-3167.1,0,1
792,1/11/2013,0,0,0,3,4,2742,NULL,NULL,NULL,NULL,0,0,-786.37,0,1
793,1/11/2013,0,0,0,3,4,2743,NULL,NULL,NULL,NULL,0,0,-4782.62,0,1
794,1/11/2013,0,0,0,3,4,2744,NULL,NULL,NULL,NULL,0,0,-1403.58,0,1
872,1/12/2013,0,0,0,3,4,3096,NULL,NULL,NULL,NULL,0,0,-3275.2,0,1
873,1/12/2013,0,0,0,3,4,3097,NULL,NULL,NULL,NULL,0,0,-1895.2,0,1
874,1/12/2013,0,0,0,3,4,3098,NULL,NULL,NULL,NULL,0,0,-1637.77,0,1
875,1/12/2013,0,0,0,3,4,3099,NULL,NULL,NULL,NULL,0,0,-1391.96,0,1
876,1/12/2013,0,0,0,3,4,3100,NULL,NULL,NULL,NULL,0,0,-6532,0,1
877,1/12/2013,0,0,0,3,4,3101,NULL,NULL,NULL,NULL,0,0,-2706.41,0,1
878,1/12/2013,0,0,0,3,4,3102,NULL,NULL,NULL,NULL,0,0,-1961.9,0,1
879,1/12/2013,0,0,0,3,4,3103,NULL,NULL,NULL,NULL,0,0,-3971.53,0,1
880,1/12/2013,0,0,0,3,4,3104,NULL,NULL,NULL,NULL,0,0,-3899.94,0,1
881,1/12/2013,0,0,0,3,4,3105,NULL,NULL,NULL,NULL,0,0,-6361.8,0,1
882,1/12/2013,0,0,0,3,4,3106,NULL,NULL,NULL,NULL,0,0,-2097.37,0,1
883,1/12/2013,0,0,0,3,4,3107,NULL,NULL,NULL,NULL,0,0,-1970.64,0,1
884,1/12/2013,0,0,0,3,4,3108,NULL,NULL,NULL,NULL,0,0,-5281.95,0,1
885,1/12/2013,0,0,0,3,4,3109,NULL,NULL,NULL,NULL,0,0,-3240.24,0,1
886,1/12/2013,0,0,0,3,4,3110,NULL,NULL,NULL,NULL,0,0,-3116.5,0,1
887,1/12/2013,0,0,0,3,4,3111,NULL,NULL,NULL,NULL,0,0,-394.45,0,1
888,1/12/2013,0,0,0,3,4,3112,NULL,NULL,NULL,NULL,0,0,-2293.1,0,1
889,1/12/2013,0,0,0,3,4,3113,NULL,NULL,NULL,NULL,0,0,-2748.96,0,1
890,1/12/2013,0,0,0,3,4,3114,NULL,NULL,NULL,NULL,0,0,-3573.05,0,1
891,1/12/2013,0,0,0,3,4,3115,NULL,NULL,NULL,NULL,0,0,-604.9,0,1
918,1/13/2013,0,0,0,3,4,3223,NULL,NULL,NULL,NULL,0,0,-2649.6,0,1
919,1/13/2013,0,0,0,3,4,3224,NULL,NULL,NULL,NULL,0,0,-190.9,0,1
920,1/13/2013,0,0,0,3,4,3225,NULL,NULL,NULL,NULL,0,0,-810.29,0,1
921,1/13/2013,0,0,0,3,4,3226,NULL,NULL,NULL,NULL,0,0,-4207.28,0,1
922,1/13/2013,0,0,0,3,4,3227,NULL,NULL,NULL,NULL,0,0,-1987.2,0,1
923,1/13/2013,0,0,0,3,4,3228,NULL,NULL,NULL,NULL,0,0,-473.8,0,1
924,1/13/2013,0,0,0,3,4,3229,NULL,NULL,NULL,NULL,0,0,-323.55,0,1
925,1/13/2013,0,0,0,3,4,3230,NULL,NULL,NULL,NULL,0,0,-414,0,1
926,1/13/2013,0,0,0,3,4,3231,NULL,NULL,NULL,NULL,0,0,-474.03,0,1
927,1/13/2013,0,0,0,3,4,3232,NULL,NULL,NULL,NULL,0,0,-17746.8,0,1
1002,1/15/2013,0,0,0,3,4,3583,NULL,NULL,NULL,NULL,0,0,-806.15,0,1
1003,1/15/2013,0,0,0,3,4,3584,NULL,NULL,NULL,NULL,0,0,-1472,0,1
1004,1/15/2013,0,0,0,3,4,3585,NULL,NULL,NULL,NULL,0,0,-484.15,0,1
1005,1/15/2013,0,0,0,3,4,3586,NULL,NULL,NULL,NULL,0,0,-2449.5,0,1
1006,1/15/2013,0,0,0,3,4,3587,NULL,NULL,NULL,NULL,0,0,-951.34,0,1
1007,1/15/2013,0,0,0,3,4,3588,NULL,NULL,NULL,NULL,0,0,-3394.8,0,1
1008,1/15/2013,0,0,0,3,4,3589,NULL,NULL,NULL,NULL,0,0,-5330.94,0,1
1009,1/15/2013,0,0,0,3,4,3590,NULL,NULL,NULL,NULL,0,0,-2111.4,0,1
1010,1/15/2013,0,0,0,3,4,3591,NULL,NULL,NULL,NULL,0,0,-1612.3,0,1
1011,1/15/2013,0,0,0,3,4,3592,NULL,NULL,NULL,NULL,0,0,-4394.15,0,1
1012,1/15/2013,0,0,0,3,4,3593,NULL,NULL,NULL,NULL,0,0,-2870.4,0,1
1013,1/15/2013,0,0,0,3,4,3594,NULL,NULL,NULL,NULL,0,0,-3115.35,0,1
1014,1/15/2013,0,0,0,3,4,3595,NULL,NULL,NULL,NULL,0,0,-306.19,0,1
1015,1/15/2013,0,0,0,3,4,3596,NULL,NULL,NULL,NULL,0,0,-3398.25,0,1
1016,1/15/2013,0,0,0,3,4,3597,NULL,NULL,NULL,NULL,0,0,-745.2,0,1
1017,1/15/2013,0,0,0,3,4,3598,NULL,NULL,NULL,NULL,0,0,-5838.55,0,1
1018,1/15/2013,0,0,0,3,4,3599,NULL,NULL,NULL,NULL,0,0,-331.2,0,1
1019,1/15/2013,0,0,0,3,4,3600,NULL,NULL,NULL,NULL,0,0,-1263.85,0,1
1020,1/15/2013,0,0,0,3,4,3601,NULL,NULL,NULL,NULL,0,0,-10494.9,0,1
1021,1/15/2013,0,0,0,3,4,3602,NULL,NULL,NULL,NULL,0,0,-2640.4,0,1
1022,1/15/2013,0,0,0,3,4,3603,NULL,NULL,NULL,NULL,0,0,-23256.45,0,1
1023,1/15/2013,0,0,0,3,4,3604,NULL,NULL,NULL,NULL,0,0,-745.2,0,1
1024,1/15/2013,0,0,0,3,4,3605,NULL,NULL,NULL,NULL,0,0,-2208,0,1
1025,1/15/2013,0,0,0,3,4,3606,NULL,NULL,NULL,NULL,0,0,-2208,0,1
1026,1/15/2013,0,0,0,3,4,3607,NULL,NULL,NULL,NULL,0,0,-492.2,0,1
1027,1/15/2013,0,0,0,3,4,3608,NULL,NULL,NULL,NULL,0,0,-311.65,0,1
1028,1/15/2013,0,0,0,3,4,3609,NULL,NULL,NULL,NULL,0,0,-1147.47,0,1
1029,1/15/2013,0,0,0,3,4,3610,NULL,NULL,NULL,NULL,0,0,-4378.51,0,1
1125,1/16/2013,0,0,0,3,4,4025,NULL,NULL,NULL,NULL,0,0,-2245.61,0,1
1126,1/16/2013,0,0,0,3,4,4026,NULL,NULL,NULL,NULL,0,0,-993.6,0,1
1127,1/16/2013,0,0,0,3,4,4027,NULL,NULL,NULL,NULL,0,0,-2502.4,0,1
1128,1/16/2013,0,0,0,3,4,4028,NULL,NULL,NULL,NULL,0,0,-2149.75,0,1
1129,1/16/2013,0,0,0,3,4,4029,NULL,NULL,NULL,NULL,0,0,-6285.9,0,1
1130,1/16/2013,0,0,0,3,4,4030,NULL,NULL,NULL,NULL,0,0,-1800.9,0,1
1131,1/16/2013,0,0,0,3,4,4031,NULL,NULL,NULL,NULL,0,0,-483,0,1
1132,1/16/2013,0,0,0,3,4,4032,NULL,NULL,NULL,NULL,0,0,-472.65,0,1
1133,1/16/2013,0,0,0,3,4,4033,NULL,NULL,NULL,NULL,0,0,-1096.76,0,1
1134,1/16/2013,0,0,0,3,4,4034,NULL,NULL,NULL,NULL,0,0,-2130.38,0,1
1135,1/16/2013,0,0,0,3,4,4035,NULL,NULL,NULL,NULL,0,0,-10140.7,0,1
1136,1/16/2013,0,0,0,3,4,4036,NULL,NULL,NULL,NULL,0,0,-2299.08,0,1
1137,1/16/2013,0,0,0,3,4,4037,NULL,NULL,NULL,NULL,0,0,-1815.85,0,1
1138,1/16/2013,0,0,0,3,4,4038,NULL,NULL,NULL,NULL,0,0,-5470.55,0,1
1139,1/16/2013,0,0,0,3,4,4039,NULL,NULL,NULL,NULL,0,0,-18712.8,0,1
1140,1/16/2013,0,0,0,3,4,4040,NULL,NULL,NULL,NULL,0,0,-288.65,0,1
1141,1/16/2013,0,0,0,3,4,4041,NULL,NULL,NULL,NULL,0,0,-1624.95,0,1
1142,1/16/2013,0,0,0,3,4,4042,NULL,NULL,NULL,NULL,0,0,-6181.25,0,1
1143,1/16/2013,0,0,0,3,4,4043,NULL,NULL,NULL,NULL,0,0,-5060,0,1
1144,1/16/2013,0,0,0,3,4,4044,NULL,NULL,NULL,NULL,0,0,-527.85,0,1
1145,1/16/2013,0,0,0,3,4,4045,NULL,NULL,NULL,NULL,0,0,-539.35,0,1
1146,1/16/2013,0,0,0,3,4,4046,NULL,NULL,NULL,NULL,0,0,-1512.25,0,1
